date,years_exp,cid,cfcontrol,leg_totalbills,state,amtsumlag_1,amtsumfwd_1,billsumfwd_1,billsum,amtsum
2010,18,N00009775,-0.5403840594542858,8.0,DE,690.05,0.0,0.0,0.0,1096.489
2006,12,N00003689,0.0,6.0,OH,176.56099999999995,480.13300000000004,2.0,0.0,1338.149
2008,14,N00003689,0.0,6.0,OH,480.13300000000004,188.21099999999998,0.0,0.0,831.1619999999997
2012,16,N00003689,0.0,8.0,OH,252.748,154.55,1.0,2.0,246.33
2014,18,N00003689,0.0,3.0,OH,154.55,0.0,0.0,0.0,235.924
2008,14,N00002685,0.0,4.0,GA,1230.672,89.76799999999999,2.0,0.0,5845.516
2014,20,N00002685,0.0,4.0,GA,51.9,0.0,0.0,0.0,2.5
2008,16,N00002408,0.0,2.0,SC,1195.883,1242.149,0.0,0.0,1003.9789999999999
2010,18,N00002408,0.0,2.0,SC,1242.149,983.95,0.0,1.0,923.5880000000001
2012,20,N00002408,0.0,6.0,SC,983.95,843.3960000000003,0.0,0.0,912.665
2014,22,N00002408,0.0,2.0,SC,843.3960000000003,0.0,0.0,0.0,998.444
2006,22,N00002247,0.0,1.0,NC,151.59799999999996,124.99799999999999,0.0,1.0,221.812
2008,24,N00002247,0.0,7.0,NC,124.99799999999999,137.165,0.0,0.0,227.05200000000002
2012,28,N00002247,0.0,24.0,NC,111.0,68.0,2.0,0.0,270.93
2014,30,N00002247,0.0,1.0,NC,68.0,0.0,0.0,0.0,4.0
2010,12,N00005601,0.0,10.0,OK,668.047,15.5,6.0,1.0,757.4760000000001
2008,36,N00003328,0.0,2.0,MS,452.833,62.782,0.0,0.0,831.867
2014,42,N00003328,0.0,2.0,MS,665.378,0.0,0.0,0.0,4873.063
2006,42,N00004029,0.0,6.0,MI,235.86,327.018,8.0,0.0,291.803
2008,44,N00004029,0.0,14.0,MI,327.018,299.312,13.0,3.0,398.95
2010,46,N00004029,0.0,15.0,MI,299.312,299.5,6.0,1.0,248.85
2012,48,N00004029,0.0,12.0,MI,299.5,250.0,4.0,0.0,495.48199999999997
2014,50,N00004029,0.0,12.0,MI,250.0,0.0,0.0,3.0,372.338
2006,24,N00003132,0.0,1.0,TN,133.863,99.0,0.0,0.0,142.54
2010,28,N00003132,0.0,3.0,TN,136.65,155.344,1.0,0.0,222.887
2014,32,N00003132,0.0,2.0,TN,120.0,0.0,0.0,1.0,194.75
2006,20,N00004956,0.0,3.0,IL,194.55,365.785,0.0,0.0,247.856
2008,22,N00004956,0.0,2.0,IL,365.785,273.05,0.0,0.0,330.811
2010,24,N00004956,0.0,1.0,IL,273.05,187.642,0.0,0.0,399.04
2012,26,N00004956,0.0,5.0,IL,187.642,20.0,0.0,0.0,43.3
2008,28,N00002091,0.0,5.0,ID,238.795,0.0,0.0,0.0,0.0
2006,16,N00003042,0.0,2.0,AL,196.0,251.05700000000002,0.0,0.0,300.276
2010,18,N00006267,0.0,5.0,ID,954.681,167.358,4.0,0.0,1022.675
2006,12,N00006242,0.0,5.0,WY,243.075,53.998999999999995,1.0,0.0,846.947
2008,14,N00006242,0.0,3.0,WY,53.998999999999995,0.0,0.0,0.0,1.0
2006,11,N00001971,0.0,1.0,MD,221.377,274.785,4.0,0.0,247.145
2008,13,N00001971,0.0,3.0,MD,274.785,223.813,0.0,0.0,260.253
2010,15,N00001971,0.0,2.0,MD,223.813,286.656,0.0,0.0,240.05
2012,17,N00001971,0.0,8.0,MD,286.656,308.1,2.0,1.0,273.18
2014,19,N00001971,0.0,4.0,MD,308.1,0.0,0.0,1.0,322.887
2006,12,N00002045,0.0,9.0,VA,406.616,500.76199999999994,3.0,0.0,515.562
2008,14,N00002045,0.0,4.0,VA,500.76199999999994,1.496,0.0,0.0,90.742
2006,14,N00002610,0.0,5.0,GA,375.37,266.5,0.0,0.0,458.575
2008,16,N00002610,0.0,2.0,GA,266.5,88.023,0.0,0.0,351.213
2006,20,N00007781,0.0,6.0,OR,132.805,213.46599999999998,4.0,0.0,245.53799999999998
2008,22,N00007781,0.0,14.0,OR,213.46599999999998,283.199,3.0,2.0,274.447
2010,24,N00007781,0.0,5.0,OR,283.199,256.0,3.0,0.0,361.983
2012,26,N00007781,0.0,7.0,OR,256.0,255.563,4.0,0.0,380.925
2014,28,N00007781,0.0,9.0,OR,255.563,0.0,0.0,0.0,379.14599999999996
2006,16,N00000615,0.0,9.0,CT,235.09099999999998,262.605,12.0,0.0,266.466
2008,18,N00000615,0.0,6.0,CT,262.605,393.12300000000016,4.0,0.0,491.23400000000004
2010,20,N00000615,0.0,7.0,CT,393.12300000000016,280.526,5.0,0.0,397.407
2012,22,N00000615,0.0,9.0,CT,280.526,390.94599999999997,3.0,4.0,355.61400000000015
2014,24,N00000615,0.0,18.0,CT,390.94599999999997,0.0,0.0,3.0,247.05
2006,21,N00005892,0.0,1.0,TX,1130.45,1.0,0.0,0.0,270.642
2006,14,N00002872,0.0,2.0,FL,150.54399999999995,217.043,0.0,0.0,139.312
2008,16,N00002872,0.0,1.0,FL,217.043,134.998,0.0,0.0,816.217
2006,30,N00007918,0.0,3.0,WA,182.58599999999998,236.95,1.0,0.0,249.023
2008,32,N00007918,0.0,3.0,WA,236.95,295.48,0.0,0.0,362.841
2010,34,N00007918,0.0,1.0,WA,295.48,371.4,0.0,0.0,485.023
2012,36,N00007918,0.0,2.0,WA,371.4,0.0,0.0,0.0,18.25
2006,52,N00001783,0.0,10.0,MI,466.05,907.4110000000001,11.0,0.0,726.294
2008,54,N00001783,0.0,7.0,MI,907.4110000000001,327.96,6.0,1.0,1171.448
2010,56,N00001783,0.0,6.0,MI,327.96,519.703,1.0,0.0,1130.917
2012,58,N00001783,0.0,3.0,MI,519.703,345.70300000000015,0.0,0.0,564.7669999999998
2014,60,N00001783,0.0,1.0,MI,345.70300000000015,0.0,0.0,0.0,27.7
2010,36,N00000581,0.0,26.0,CT,1527.0410000000006,72.8,0.0,1.0,990.45
2006,12,N00006023,0.0,5.0,TX,101.499,173.187,2.0,0.0,182.403
2008,14,N00006023,0.0,7.0,TX,173.187,134.25,1.0,0.0,303.20599999999996
2010,16,N00006023,0.0,6.0,TX,134.25,182.674,2.0,1.0,224.2
2012,18,N00006023,0.0,3.0,TX,182.674,168.6,0.0,1.0,238.69099999999997
2014,20,N00006023,0.0,3.0,TX,168.6,0.0,0.0,0.0,235.514
2006,16,N00007556,0.0,7.0,CA,165.774,146.686,0.0,0.0,667.1410000000002
2010,30,N00004615,0.0,13.0,ND,1487.079,0.0,0.0,2.0,585.901
2006,12,N00001373,0.0,1.0,PA,210.52599999999998,227.13400000000001,3.0,0.0,269.499
2008,14,N00001373,0.0,1.0,PA,227.13400000000001,202.75900000000001,2.0,0.0,363.185
2010,16,N00001373,0.0,5.0,PA,202.75900000000001,271.0,0.0,1.0,328.168
2012,18,N00001373,0.0,3.0,PA,271.0,300.75,1.0,0.0,348.967
2014,20,N00001373,0.0,1.0,PA,300.75,0.0,0.0,0.0,364.42800000000005
2006,26,N00006932,0.0,2.0,CA,570.9,207.237,0.0,1.0,554.001
2008,28,N00006932,0.0,3.0,CA,207.237,169.61900000000003,1.0,0.0,389.681
2010,30,N00006932,0.0,1.0,CA,169.61900000000003,82.75,1.0,0.0,370.535
2012,32,N00006932,0.0,2.0,CA,82.75,0.0,0.0,1.0,2.51
2006,19,N00003209,0.0,3.0,TN,219.41299999999998,154.25,0.0,0.0,223.842
2008,21,N00003209,0.0,2.0,TN,154.25,175.407,0.0,0.0,258.195
2010,23,N00003209,0.0,3.0,TN,175.407,219.792,2.0,0.0,262.512
2012,25,N00003209,0.0,1.0,TN,219.792,149.5,1.0,0.0,255.83
2014,27,N00003209,0.0,5.0,TN,149.5,0.0,0.0,1.0,186.518
2008,26,N00004981,0.0,25.0,IL,1122.537,210.95,8.0,2.0,880.625
2014,32,N00004981,0.0,14.0,IL,846.328,0.0,0.0,3.0,990.895
2006,16,N00005794,0.0,2.0,TX,725.443,649.127,1.0,0.0,995.24
2008,18,N00005794,0.0,1.0,TX,649.127,503.066,0.0,1.0,512.775
2010,20,N00005794,0.0,4.0,TX,503.066,0.0,0.0,0.0,977.6510000000001
