date,years_exp,cid,cfcontrol,leg_totalbills,state,amtsumlag_1,amtsumfwd_1,billsumfwd_1,billsum,amtsum,unemplag_1,logleg_totalbills,logamtsumlag_1,logamtsumfwd_1,logamtsum,exp_5_9,exp_10_19,exp20,post2009years,amtsum_5to9exp,amtsum_10to19exp,amtsum_exp20,amtsumlag1_5to9exp,amtsumlag1_10to19exp,amtsumlag1_exp20,amtsumfwd1_5to9exp,amtsumfwd1_10to19exp,amtsumfwd1_exp20,amtsum_post2009years,amtsumfwd1_post2009years,amtsumlag1_post2009years,logamtsum_5to9exp,logamtsum_10to19exp,logamtsum_exp20,logamtsumlag1_5to9exp,logamtsumlag1_10to19exp,logamtsumlag1_exp20,logamtsumfwd1_5to9exp,logamtsumfwd1_10to19exp,logamtsumfwd1_exp20,logamtsum_post2009years,logamtsumfwd1_post2009years,logamtsumlag1_post2009years
2014,34,N00009816,0.0,11.0,NJ,57.3,0.0,0.0,1.0,122.074,8.2,2.3978952727983707,4.048300623720694,0.0,4.8046274182287325,0,0,1,1,0.0,0.0,122.074,0.0,0.0,57.3,0.0,0.0,0.0,122.074,0.0,57.3,0.0,0.0,4.8046274182287325,0.0,0.0,4.048300623720694,0.0,0.0,0.0,4.8046274182287325,0.0,4.048300623720694
2006,20,N00001811,0.0,10.0,TX,113.57,279.35,0.0,0.0,315.437,5.4,2.302585092994046,4.732419386903555,5.632465475905158,5.753958978999165,0,0,1,2006,0.0,0.0,315.437,0.0,0.0,113.57,0.0,0.0,279.35,632766.622,560376.1000000001,227821.41999999998,0.0,0.0,5.753958978999165,0.0,0.0,4.732419386903555,0.0,0.0,5.632465475905158,11542.441711872325,11298.725744665746,9493.23329012853
2008,22,N00001811,0.0,3.0,TX,279.35,247.73,0.0,0.0,257.838,4.3,1.0986122886681098,5.632465475905158,5.512339443412685,5.552331480728728,0,0,1,2008,0.0,0.0,257.838,0.0,0.0,279.35,0.0,0.0,247.73,517738.704,497441.83999999997,560934.8,0.0,0.0,5.552331480728728,0.0,0.0,5.632465475905158,0.0,0.0,5.512339443412685,11149.081613303286,11068.777602372671,11309.990675617557
2010,24,N00001811,0.0,7.0,TX,247.73,468.312,10.0,0.0,412.41,7.6,1.9459101490553132,5.512339443412685,6.149134740460807,6.022018000151438,0,0,1,1,0.0,0.0,412.41,0.0,0.0,247.73,0.0,0.0,468.312,412.41,468.312,247.73,0.0,0.0,6.022018000151438,0.0,0.0,5.512339443412685,0.0,0.0,6.149134740460807,6.022018000151438,6.149134740460807,5.512339443412685
2012,26,N00001811,0.0,13.0,TX,468.312,366.857,4.0,2.0,446.299,7.8,2.5649493574615367,6.149134740460807,5.9049721263463635,6.100989130987408,0,0,1,1,0.0,0.0,446.299,0.0,0.0,468.312,0.0,0.0,366.857,446.299,366.857,468.312,0.0,0.0,6.100989130987408,0.0,0.0,6.149134740460807,0.0,0.0,5.9049721263463635,6.100989130987408,5.9049721263463635,6.149134740460807
2014,28,N00001811,0.0,1.0,TX,366.857,0.0,0.0,1.0,427.278,6.2,0.0,5.9049721263463635,0.0,6.057434855249169,0,0,1,1,0.0,0.0,427.278,0.0,0.0,366.857,0.0,0.0,0.0,427.278,0.0,366.857,0.0,0.0,6.057434855249169,0.0,0.0,5.9049721263463635,0.0,0.0,0.0,6.057434855249169,0.0,5.9049721263463635
2006,28,N00000480,0.0,29.0,ME,731.703,4.3,1.0,0.0,654.401,4.9,3.367295829986474,6.5953746939225795,1.4586150226995167,6.483720313404729,0,0,1,2006,0.0,0.0,654.401,0.0,0.0,731.703,0.0,0.0,4.3,1312728.406,8625.8,1467796.2179999999,0.0,0.0,6.483720313404729,0.0,0.0,6.5953746939225795,0.0,0.0,1.4586150226995167,13006.342948689886,2925.9817355352307,13230.321636008694
2012,34,N00000480,0.0,18.0,ME,1332.425,0.0,0.0,2.0,246.535,7.9,2.8903717578961645,7.194755869277693,0.0,5.507503971233041,0,0,1,1,0.0,0.0,246.535,0.0,0.0,1332.425,0.0,0.0,0.0,246.535,0.0,1332.425,0.0,0.0,5.507503971233041,0.0,0.0,7.194755869277693,0.0,0.0,0.0,5.507503971233041,0.0,7.194755869277693
2006,12,N00003844,0.0,4.0,IN,22.875,169.988,0.0,0.0,300.788,5.5,1.3862943611198906,3.130044611161585,5.135727846323501,5.706405697662892,0,1,0,2006,0.0,300.788,0.0,0.0,22.875,0.0,0.0,169.988,0.0,603380.728,340995.928,45887.25,0.0,5.706405697662892,0.0,0.0,3.130044611161585,0.0,0.0,5.135727846323501,0.0,11447.049829511761,10302.270059724944,6278.86948999014
2008,14,N00003844,0.0,2.0,IN,169.988,163.34,0.0,0.0,534.081,4.6,0.6931471805599453,5.135727846323501,5.09583391793013,6.280547512850387,0,1,0,2008,0.0,534.081,0.0,0.0,169.988,0.0,0.0,163.34,0.0,1072434.648,327986.72000000003,341335.904,0.0,6.280547512850387,0.0,0.0,5.135727846323501,0.0,0.0,5.09583391793013,0.0,12611.339405803577,10232.434507203701,10312.54151541759
2010,16,N00003844,0.0,1.0,IN,163.34,0.0,0.0,0.0,167.247,10.3,0.0,5.09583391793013,0.0,5.119471761627733,0,1,0,1,0.0,167.247,0.0,0.0,163.34,0.0,0.0,0.0,0.0,167.247,0.0,163.34,0.0,5.119471761627733,0.0,0.0,5.09583391793013,0.0,0.0,0.0,0.0,5.119471761627733,0.0,5.09583391793013
2006,24,N00002492,0.0,2.0,SC,353.372,402.857,0.0,0.0,1062.955,6.7,0.6931471805599453,5.867521326412808,5.998581660266854,6.968808044426125,0,0,1,2006,0.0,0.0,1062.955,0.0,0.0,353.372,0.0,0.0,402.857,2132287.73,808131.1420000001,708864.2320000001,0.0,0.0,6.968808044426125,0.0,0.0,5.867521326412808,0.0,0.0,5.998581660266854,13979.428937118808,12033.154810495309,11770.247780784093
2008,26,N00002492,0.0,2.0,SC,402.857,343.844,0.0,0.0,466.754,5.7,0.6931471805599453,5.998581660266854,5.840188066144356,6.145802352283343,0,0,1,2008,0.0,0.0,466.754,0.0,0.0,402.857,0.0,0.0,343.844,937242.032,690438.752,808936.856,0.0,0.0,6.145802352283343,0.0,0.0,5.998581660266854,0.0,0.0,5.840188066144356,12340.771123384951,11727.097636817867,12045.151973815844
2010,28,N00002492,0.0,5.0,SC,343.844,0.391,0.0,1.0,979.749,11.2,1.6094379124341003,5.840188066144356,-0.9390477189967712,6.887296416410682,0,0,1,1,0.0,0.0,979.749,0.0,0.0,343.844,0.0,0.0,0.391,979.749,0.391,343.844,0.0,0.0,6.887296416410682,0.0,0.0,5.840188066144356,-0.0,-0.0,-0.9390477189967712,6.887296416410682,-0.9390477189967712,5.840188066144356
2006,34,N00007397,0.0,6.0,CA,110.404,325.55,5.0,0.0,202.759,5.4,1.791759469228055,4.704146365070694,5.785516059682871,5.312018081652748,0,0,1,2006,0.0,0.0,202.759,0.0,0.0,110.404,0.0,0.0,325.55,406734.55399999995,653053.3,221470.424,0.0,0.0,5.312018081652748,0.0,0.0,4.704146365070694,0.0,0.0,5.785516059682871,10655.908271795412,11605.74521572384,9436.517608331813
2008,36,N00007397,0.0,9.0,CA,325.55,261.8,0.0,1.0,298.202,5.4,2.1972245773362196,5.785516059682871,5.5675808534758,5.697771109216262,0,0,1,2008,0.0,0.0,298.202,0.0,0.0,325.55,0.0,0.0,261.8,598789.616,525694.4,653704.4,0.0,0.0,5.697771109216262,0.0,0.0,5.785516059682871,0.0,0.0,5.5675808534758,11441.124387306254,11179.702353779407,11617.316247843206
2010,38,N00007397,0.0,5.0,CA,261.8,159.1,0.0,1.0,218.05,11.2,1.6094379124341003,5.5675808534758,5.069532935343741,5.384724394288775,0,0,1,1,0.0,0.0,218.05,0.0,0.0,261.8,0.0,0.0,159.1,218.05,159.1,261.8,0.0,0.0,5.384724394288775,0.0,0.0,5.5675808534758,0.0,0.0,5.069532935343741,5.384724394288775,5.069532935343741,5.5675808534758
2012,40,N00007397,0.0,6.0,CA,159.1,1.0,0.0,1.0,656.221,11.7,1.791759469228055,5.069532935343741,0.0,6.486497622453215,0,0,1,1,0.0,0.0,656.221,0.0,0.0,159.1,0.0,0.0,1.0,656.221,1.0,159.1,0.0,0.0,6.486497622453215,0.0,0.0,5.069532935343741,0.0,0.0,0.0,6.486497622453215,0.0,5.069532935343741
2006,18,N00002782,0.0,6.0,FL,205.325,158.218,3.0,0.0,314.994,3.7,1.791759469228055,5.324594089626256,5.063973828886382,5.752553591025177,0,1,0,2006,0.0,314.994,0.0,0.0,205.325,0.0,0.0,158.218,0.0,631877.964,317385.30799999996,411881.94999999995,0.0,5.752553591025177,0.0,0.0,5.324594089626256,0.0,0.0,5.063973828886382,0.0,11539.622503596505,10158.33150074608,10681.13574379027
2010,22,N00002782,0.0,6.0,FL,184.5,229.65,3.0,1.0,265.474,10.4,1.791759469228055,5.217649463480582,5.436556410771803,5.58151690744978,0,0,1,1,0.0,0.0,265.474,0.0,0.0,184.5,0.0,0.0,229.65,265.474,229.65,184.5,0.0,0.0,5.58151690744978,0.0,0.0,5.217649463480582,0.0,0.0,5.436556410771803,5.58151690744978,5.436556410771803,5.217649463480582
2012,24,N00002782,0.0,2.0,FL,229.65,1.5,0.0,1.0,212.667,10.0,0.6931471805599453,5.436556410771803,0.4054651081081644,5.359727562073571,0,0,1,1,0.0,0.0,212.667,0.0,0.0,229.65,0.0,0.0,1.5,212.667,1.5,229.65,0.0,0.0,5.359727562073571,0.0,0.0,5.436556410771803,0.0,0.0,0.4054651081081644,5.359727562073571,0.4054651081081644,5.436556410771803
2014,4,N00005918,-0.5622406051732552,29.0,TX,146.376,0.0,0.0,0.0,29.441,6.2,3.367295829986474,4.9861786536622645,0.0,3.3823882606751012,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.441,0.0,146.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3823882606751012,0.0,4.9861786536622645
2006,14,N00004196,0.0,11.0,MI,198.206,397.674,7.0,0.0,324.578,6.8,2.3978952727983707,5.289306893889755,5.985632574165056,5.782525877059645,0,1,0,2006,0.0,324.578,0.0,0.0,198.206,0.0,0.0,397.674,0.0,651103.468,797734.044,397601.236,0.0,5.782525877059645,0.0,0.0,5.289306893889755,0.0,0.0,5.985632574165056,0.0,11599.746909381647,12007.178943775101,10610.34962914285
2008,16,N00004196,0.0,15.0,MI,397.674,334.2990000000001,2.0,1.0,484.858,7.0,2.70805020110221,5.985632574165056,5.812035802096422,6.18385606456287,0,1,0,2008,0.0,484.858,0.0,0.0,397.674,0.0,0.0,334.2990000000001,0.0,973594.8640000001,671272.3920000002,798529.392,0.0,6.18385606456287,0.0,0.0,5.985632574165056,0.0,0.0,5.812035802096422,0.0,12417.182977642244,11670.567890609615,12019.150208923433
